onset	duration	trial_type	value	sample
19.2	5.0	right_hand	4	9600
28.16	5.0	left_hand	2	14080
37.16	5.0	left_hand	2	18580
46.2	5.0	feet	1	23100
55.2	5.0	left_hand	2	27600
64.2	5.0	rest	3	32100
73.2	5.0	rest	3	36600
82.2	5.0	rest	3	41100
91.16	5.0	left_hand	2	45580
100.2	5.0	left_hand	2	50100
109.2	5.0	rest	3	54600
118.2	5.0	right_hand	4	59100
127.2	5.0	right_hand	4	63600
136.2	5.0	feet	1	68100
145.16	5.0	rest	3	72580
154.16	5.0	right_hand	4	77080
163.2	5.0	feet	1	81600
172.2	5.0	rest	3	86100
181.2	5.0	feet	1	90600
190.2	5.0	right_hand	4	95100
199.2	5.0	rest	3	99600
208.16	5.0	feet	1	104080
217.2	5.0	feet	1	108600
226.2	5.0	feet	1	113100
235.2	5.0	right_hand	4	117600
244.2	5.0	left_hand	2	122100
253.16	5.0	right_hand	4	126580
262.16	5.0	left_hand	2	131080
271.16	5.0	rest	3	135580
280.2	5.0	rest	3	140100
289.2	5.0	left_hand	2	144600
298.2	5.0	rest	3	149100
307.2	5.0	feet	1	153600
316.2	5.0	right_hand	4	158100
325.2	5.0	right_hand	4	162600
334.16	5.0	left_hand	2	167080
343.12	5.0	feet	1	171560
352.2	5.0	left_hand	2	176100
361.2	5.0	feet	1	180600
370.2	5.0	right_hand	4	185100
